node	mutation_occurred	variant_name	successors
365	True	a_b	[353, 388, 126, 67]
353	False	a_b	[160, 10, 652, 489, 138, 139, 625]
388	False	a_b	[595, 95]
126	False	a_b	[421, 552, 791]
67	True	a_b_c	[843, 837, 155, 975]
160	False	a_b	[864, 842]
10	False	a_b	[]
652	True	a_b_d	[166, 761, 953, 789]
489	False	a_b	[610]
138	False	a_b	[193, 273]
139	True	a_b_e	[270, 689]
625	True	a_b_f	[172]
595	True	a_b_g	[355, 173, 451, 96, 936]
95	True	a_b_h	[978, 514, 986]
421	False	a_b	[89, 281, 272, 912, 257]
552	False	a_b	[942, 830]
791	True	a_b_i	[]
843	True	a_b_c_j	[533]
837	False	a_b_c	[]
155	True	a_b_c_k	[503, 893, 299, 660, 591, 469]
975	False	a_b_c	[]
864	False	a_b	[627, 0, 136, 253, 29, 611, 538, 37, 720, 683, 615, 347]
842	True	a_b_l	[793, 182, 756, 221, 501, 452, 662, 120]
166	False	a_b_d	[]
761	False	a_b_d	[568, 391]
953	True	a_b_d_m	[527, 134]
789	False	a_b_d	[743, 525, 639]
610	False	a_b	[]
193	False	a_b	[]
273	True	a_b_n	[]
270	False	a_b_e	[997]
689	False	a_b_e	[]
172	True	a_b_f_o	[]
355	True	a_b_g_p	[21, 360, 612, 717, 205]
173	False	a_b_g	[904]
451	True	a_b_g_q	[]
96	True	a_b_g_r	[328]
936	False	a_b_g	[]
978	True	a_b_h_s	[884]
514	True	a_b_h_t	[146, 728, 97]
986	False	a_b_h	[133, 494]
89	True	a_b_u	[]
281	False	a_b	[663, 247, 128, 280, 908, 671, 641, 845, 807]
272	False	a_b	[]
912	False	a_b	[935]
257	True	a_b_v	[]
942	False	a_b	[425]
830	False	a_b	[]
533	False	a_b_c_j	[]
503	False	a_b_c_k	[]
893	False	a_b_c_k	[]
299	False	a_b_c_k	[693, 59]
660	False	a_b_c_k	[]
591	False	a_b_c_k	[]
469	False	a_b_c_k	[]
627	False	a_b	[643, 417, 522, 218]
0	False	a_b	[293]
136	False	a_b	[435]
253	False	a_b	[571]
29	False	a_b	[606, 255, 605]
611	False	a_b	[477, 474, 223, 553]
538	False	a_b	[203, 419, 470, 858]
37	True	a_b_w	[710, 996]
720	False	a_b	[179, 87]
683	False	a_b	[3, 624]
615	True	a_b_x	[]
347	False	a_b	[429]
793	True	a_b_l_y	[]
182	False	a_b_l	[822]
756	False	a_b_l	[301, 296, 314]
221	False	a_b_l	[628, 125]
501	False	a_b_l	[719, 186, 330, 383]
452	False	a_b_l	[171]
662	False	a_b_l	[]
120	False	a_b_l	[]
568	False	a_b_d	[777, 887]
391	False	a_b_d	[]
527	False	a_b_d_m	[]
134	True	a_b_d_m_z	[312, 460, 764]
743	False	a_b_d	[866, 941, 69, 306]
525	True	a_b_d_A	[]
639	True	a_b_d_B	[402, 70]
997	False	a_b_e	[]
21	True	a_b_g_p_C	[587, 712, 370, 782, 508]
360	False	a_b_g_p	[]
612	False	a_b_g_p	[498]
717	False	a_b_g_p	[]
205	True	a_b_g_p_D	[220]
904	False	a_b_g	[744]
328	False	a_b_g_r	[]
884	False	a_b_h_s	[152, 773, 769]
146	True	a_b_h_t_E	[546, 77]
728	True	a_b_h_t_F	[]
97	True	a_b_h_t_G	[226, 574]
133	False	a_b_h	[]
494	False	a_b_h	[]
663	False	a_b	[118]
247	False	a_b	[378, 476]
128	False	a_b	[62]
280	False	a_b	[266]
908	False	a_b	[685, 137, 563]
671	True	a_b_H	[356, 108, 303, 530, 406, 651]
641	True	a_b_I	[]
845	True	a_b_J	[802]
807	False	a_b	[325]
935	True	a_b_K	[534]
425	False	a_b	[]
693	True	a_b_c_k_L	[]
59	False	a_b_c_k	[]
643	False	a_b	[]
417	True	a_b_M	[]
522	False	a_b	[]
218	False	a_b	[894]
293	True	a_b_N	[620, 282, 506, 714, 392]
435	False	a_b	[82, 524, 46, 994]
571	True	a_b_O	[39, 337, 40, 47, 413]
606	False	a_b	[341, 197]
255	False	a_b	[]
605	True	a_b_P	[790, 448, 202]
477	False	a_b	[690, 188, 98, 229, 483]
474	False	a_b	[65, 966]
223	False	a_b	[204, 351, 84, 928]
553	False	a_b	[]
203	False	a_b	[78, 879, 909, 274, 670, 175]
419	False	a_b	[541, 113, 488]
470	False	a_b	[785, 258, 918]
858	True	a_b_Q	[482]
