node	variant_name	num_mutations	ancestors	successors
0	['a']	0	[]	[1, 2, 3, 5, 6, 7, 9, 13, 19, 25, 26, 28, 31, 34, 38, 39, 43, 50, 55, 59, 61, 63, 65, 66, 70, 75, 85, 90, 91, 92, 96, 98, 99]
1	['a_b']	1	[0]	[32, 35, 36, 48, 51, 56, 64, 74, 88, 94, 95, 100]
2	['a_e']	1	[0]	[4, 10, 17, 20, 46, 78, 79, 84]
3	['a_c']	1	[0]	[11]
5	['a_s']	1	[0]	[57, 86]
6	['a_t']	1	[0]	[]
7	['a_n']	1	[0]	[16, 33]
9	['a_g']	1	[0]	[]
13	['a_f']	1	[0]	[]
19	['a_I']	1	[0]	[]
25	['a_i']	1	[0]	[]
26	['a_p']	1	[0]	[]
28	['a_8']	1	[0]	[]
31	['a_21']	1	[0]	[]
34	['a_o']	1	[0]	[]
38	['a_W']	1	[0]	[]
39	['a_k']	1	[0]	[]
43	['a_j']	1	[0]	[]
50	['a_U']	1	[0]	[]
55	['a_23']	1	[0]	[]
59	['a_V']	1	[0]	[]
61	['a_9']	1	[0]	[]
63	['a_X']	1	[0]	[]
65	['a_22']	1	[0]	[]
66	['a_l']	1	[0]	[68]
70	['a_10']	1	[0]	[]
75	['a_L']	1	[0]	[]
85	['a_r']	1	[0]	[]
90	['a_37']	1	[0]	[]
91	['a_C']	1	[0]	[]
92	['a_q']	1	[0]	[]
96	['a_E']	1	[0]	[]
98	['a_7']	1	[0]	[]
99	['a_A']	1	[0]	[]
32	['a_b_11']	2	[0, 1]	[]
35	['a_b_M']	2	[0, 1]	[47, 93]
36	['a_b_1']	2	[0, 1]	[]
48	['a_b_O']	2	[0, 1]	[]
51	['a_b_0']	2	[0, 1]	[]
56	['a_b_14']	2	[0, 1]	[]
64	['a_b_d']	2	[0, 1]	[]
74	['a_b_15']	2	[0, 1]	[]
88	['a_b_24']	2	[0, 1]	[]
94	['a_b_v']	2	[0, 1]	[]
95	['a_b_N']	2	[0, 1]	[]
100	['a_b_P']	2	[0, 1]	[]
4	['a_e_x']	2	[0, 2]	[8, 12, 14, 15, 21, 22, 24, 27, 41, 42, 44, 45, 49, 53, 62, 67, 69, 71, 76, 80, 83, 87]
10	['a_e_z']	2	[0, 2]	[23, 30]
17	['a_e_y']	2	[0, 2]	[]
20	['a_e_4']	2	[0, 2]	[54]
46	['a_e_5']	2	[0, 2]	[]
78	['a_e_T']	2	[0, 2]	[]
79	['a_e_F']	2	[0, 2]	[]
84	['a_e_m']	2	[0, 2]	[]
11	['a_c_h']	2	[0, 3]	[29, 52]
57	['a_s_D']	2	[0, 5]	[58]
86	['a_s_K']	2	[0, 5]	[]
16	['a_n_B']	2	[0, 7]	[77]
33	['a_n_G']	2	[0, 7]	[]
68	['a_l_w']	2	[0, 66]	[]
47	['a_b_M_Z']	3	[0, 1, 35]	[60, 89]
93	['a_b_M_25']	3	[0, 1, 35]	[]
8	['a_e_x_18']	3	[0, 2, 4]	[]
12	['a_e_x_39']	3	[0, 2, 4]	[37, 73]
14	['a_e_x_Q']	3	[0, 2, 4]	[18, 82]
15	['a_e_x_38']	3	[0, 2, 4]	[]
21	['a_e_x_17']	3	[0, 2, 4]	[72]
22	['a_e_x_2']	3	[0, 2, 4]	[40]
24	['a_e_x_40']	3	[0, 2, 4]	[]
27	['a_e_x_34']	3	[0, 2, 4]	[]
41	['a_e_x_R']	3	[0, 2, 4]	[]
42	['a_e_x_30']	3	[0, 2, 4]	[]
44	['a_e_x_45']	3	[0, 2, 4]	[]
45	['a_e_x_35']	3	[0, 2, 4]	[]
49	['a_e_x_44']	3	[0, 2, 4]	[]
53	['a_e_x_41']	3	[0, 2, 4]	[]
62	['a_e_x_43']	3	[0, 2, 4]	[]
67	['a_e_x_16']	3	[0, 2, 4]	[]
69	['a_e_x_42']	3	[0, 2, 4]	[97]
71	['a_e_x_32']	3	[0, 2, 4]	[]
76	['a_e_x_29']	3	[0, 2, 4]	[]
80	['a_e_x_36']	3	[0, 2, 4]	[]
83	['a_e_x_27']	3	[0, 2, 4]	[]
87	['a_e_x_31']	3	[0, 2, 4]	[]
23	['a_e_z_S']	3	[0, 10, 2]	[]
30	['a_e_z_6']	3	[0, 10, 2]	[]
54	['a_e_4_28']	3	[0, 2, 20]	[81]
29	['a_c_h_u']	3	[3, 0, 11]	[]
52	['a_c_h_Y']	3	[3, 0, 11]	[]
58	['a_s_D_J']	3	[0, 57, 5]	[]
77	['a_n_B_H']	3	[16, 0, 7]	[]
60	['a_b_M_Z_12']	4	[0, 1, 35, 47]	[]
89	['a_b_M_Z_13']	4	[0, 1, 35, 47]	[]
37	['a_e_x_39_47']	4	[0, 2, 12, 4]	[]
73	['a_e_x_39_48']	4	[0, 2, 12, 4]	[]
18	['a_e_x_Q_3']	4	[0, 2, 4, 14]	[]
82	['a_e_x_Q_20']	4	[0, 2, 4, 14]	[]
72	['a_e_x_17_26']	4	[0, 2, 4, 21]	[]
40	['a_e_x_2_19']	4	[0, 2, 4, 22]	[]
97	['a_e_x_42_46']	4	[0, 2, 4, 69]	[]
81	['a_e_4_28_33']	4	[0, 2, 20, 54]	[]
