node	mutation_occurred	variant_name	successors
1	True	a_b_d_n_15	[707]
120	False	a_b	[682, 526]
547	False	a_b	[751]
407	False	a_b	[]
191	False	a_b	[147]
261	False	a_b	[609]
74	True	a_e_H_16	[523, 879, 625]
919	False	a_e_H	[580, 106, 53, 653, 364]
28	False	a_e_H	[]
924	False	a_e_H	[491]
509	False	a_e_H	[842, 783]
259	True	a_e_17	[521, 82, 450]
789	True	a_e_I_18	[146, 458, 947, 215]
427	False	a_e	[939]
702	False	a_e	[]
819	False	a_e	[617, 276, 275, 62]
473	False	a_e	[]
224	False	a_f	[]
486	False	a_f	[535]
100	False	a_f	[272]
599	False	a_K	[162, 278]
342	False	a_K	[]
832	False	a_K	[]
230	False	a_K	[]
888	False	a	[80, 360, 627]
573	True	a_19	[]
834	False	a	[684, 932, 930]
332	False	a	[]
712	False	a	[]
615	True	a_20	[]
660	False	a	[443, 313]
670	False	a_N	[]
582	True	a_g_O_21	[836]
29	False	a_g	[483]
306	True	a_g_22	[984]
92	False	a_g	[]
600	True	a_g_23	[]
781	True	a_g_24	[]
369	False	a_g	[934]
145	False	a_g_r	[863]
402	True	a_g_r_25	[]
792	True	a_g_r_26	[]
437	True	a_g_s_27	[]
773	False	a_g_s	[498, 341, 931]
696	False	a_g_s	[]
872	False	a_g_s	[820]
289	False	a_g_s	[]
892	False	a_g	[]
411	False	a_g	[]
152	True	a_g_28	[]
603	True	a_g_29	[]
345	False	a_g	[]
461	False	a_g	[116]
85	False	a_g	[]
376	False	a_g_t_S	[914]
844	False	a_g_t_T	[]
592	True	a_30	[542]
252	True	a_31	[]
651	False	a_U	[]
563	False	a	[50]
578	False	a	[]
890	False	a_v_W	[]
260	False	a	[]
126	False	a	[]
245	False	a_b_Y	[]
640	False	a_b_Y	[]
210	True	a_b_Y_32	[282]
525	True	a_b_Y_33	[746, 453]
172	True	a_b_34	[]
681	False	a_b	[]
101	False	a_b_Z	[968, 209]
129	False	a_b_Z	[406, 815]
744	False	a_b_0	[543]
391	False	a_b_0	[]
231	True	a_b_0_35	[328]
290	False	a_b_0	[]
778	False	a_b_0	[]
886	False	a_b	[828, 749]
117	True	a_b_36	[42, 967, 804]
561	False	a_b	[612]
644	False	a_b	[26]
846	False	a_b_c_j	[69]
325	False	a_b_c_j	[861, 291, 944, 119]
97	False	a_b_c_j	[629, 928]
513	True	a_b_c_j_37	[706]
896	False	a_b_c_j	[142]
537	True	a_b_c_38	[]
564	False	a_b_c	[713]
664	False	a_b_c	[216, 367, 178]
605	True	a_b_c_39	[]
648	False	a_b_c	[57]
874	False	a_b_c_2	[]
824	True	a_b_c_2_40	[880]
991	False	a_b_c	[240]
764	True	a_b_c_41	[]
539	False	a_b_c_3	[]
223	False	a_b_c_3	[]
413	False	a_b_l_z	[312]
417	False	a_b_l_z	[720]
661	True	a_b_l_z_42	[]
34	True	a_b_l_z_43	[239]
816	False	a_b_l_z	[950, 814]
398	True	a_b_l_z_5_44	[798, 20, 996, 584, 409]
438	False	a_b_l_z_5	[196, 643]
19	False	a_b_l_z_5	[4, 110]
519	False	a_b_l_z_5	[703, 268, 380, 153, 518]
273	False	a_b_l_z_5	[]
